iter	Passed	Remaining
0	0	86
1	1	77
2	2	73
3	2	67
4	3	67
5	4	68
6	5	67
7	5	66
8	6	65
9	7	63
10	7	62
11	8	61
12	9	60
13	9	61
14	10	61
15	11	61
16	12	61
17	13	61
18	14	61
19	15	61
20	16	61
21	17	60
22	18	60
23	18	59
24	19	59
25	20	58
26	21	58
27	22	58
28	23	57
29	24	57
30	25	57
31	26	56
32	27	55
33	28	54
34	29	54
35	30	53
36	30	52
37	31	52
38	32	51
39	33	50
40	34	49
41	35	48
42	35	47
43	36	46
44	37	45
45	38	44
46	39	44
47	39	43
48	40	42
49	41	41
50	42	40
51	43	40
52	44	39
53	45	38
54	45	37
55	46	36
56	47	35
57	48	35
58	49	34
59	50	33
60	50	32
61	52	31
62	53	31
63	54	30
64	55	29
65	56	28
66	57	28
67	58	27
68	59	26
69	59	25
70	61	24
71	61	24
72	62	23
73	63	22
74	64	21
75	65	20
76	66	19
77	67	19
78	68	18
79	68	17
80	69	16
81	70	15
82	70	14
83	71	13
84	72	12
85	73	11
86	73	11
87	74	10
88	75	9
89	76	8
90	77	7
91	77	6
92	78	5
93	79	5
94	80	4
95	81	3
96	82	2
97	83	1
98	83	0
99	85	0
